,driver,totalPoints,chamPos,season,current_date
16,Juan Pablo Montoya,33.0,30.0,8,"February 07, 2022"
17,Kyle Kirkwood,242.0,24.0,8,"February 07, 2022"
18,Marcus Ericsson,359.0,11.0,8,"February 07, 2022"
19,Patricio O'Ward,498.0,4.0,8,"February 07, 2022"
20,Rinus VeeKay,318.0,16.0,8,"February 07, 2022"
21,Romain Grosjean,269.0,22.0,8,"February 07, 2022"
22,Sage Karam,10.0,33.0,8,"February 07, 2022"
23,Santino Ferrucci,16.0,31.0,8,"February 07, 2022"
24,Scott Dixon,387.0,8.0,8,"February 07, 2022"
25,Scott McLaughlin,411.0,6.0,8,"February 07, 2022"
26,Simon Pagenaud,556.0,1.0,8,"February 07, 2022"
27,Simon Pagenaud,556.0,2.0,8,"February 07, 2022"
28,TBA,76.0,28.0,8,"February 07, 2022"
29,Takuma Sato,509.0,3.0,8,"February 07, 2022"
30,Tatiana Calderon,216.0,25.0,8,"February 07, 2022"
31,Tony Kanaan,40.0,29.0,8,"February 07, 2022"
32,Will Power,382.0,9.0,8,"February 07, 2022"
0,Alex Palou,321.0,14.0,9,"February 07, 2022"
1,Alexander Rossi,322.0,13.0,9,"February 07, 2022"
2,Callum Ilott,427.0,6.0,9,"February 07, 2022"
3,Christian Lundgaard,270.0,21.0,9,"February 07, 2022"
4,Colton Herta,308.0,16.0,9,"February 07, 2022"
5,Conor Daly,312.0,15.0,9,"February 07, 2022"
6,Dalton Kellett,254.0,23.0,9,"February 07, 2022"
7,David Malukas,208.0,26.0,9,"February 07, 2022"
8,Delvin DeFrancesco,233.0,24.0,9,"February 07, 2022"
9,Ed Carpenter,12.0,32.0,9,"February 07, 2022"
10,Felix Rosenqvist,260.0,22.0,9,"February 07, 2022"
11,Graham Rahal,469.0,4.0,9,"February 07, 2022"
12,Helio Castroneves,215.0,25.0,9,"February 07, 2022"
13,Jack Harvey,290.0,18.0,9,"February 07, 2022"
14,Jimmie Johnson,332.0,12.0,9,"February 07, 2022"
15,Josef Newgarden,616.0,1.0,9,"February 07, 2022"
16,Juan Pablo Montoya,31.0,31.0,9,"February 07, 2022"
17,Kyle Kirkwood,343.0,11.0,9,"February 07, 2022"
18,Marcus Ericsson,465.0,5.0,9,"February 07, 2022"
19,Patricio O'Ward,391.0,7.0,9,"February 07, 2022"
20,Rinus VeeKay,306.0,17.0,9,"February 07, 2022"
21,Romain Grosjean,282.0,19.0,9,"February 07, 2022"
22,Sage Karam,10.0,33.0,9,"February 07, 2022"
23,Santino Ferrucci,60.0,29.0,9,"February 07, 2022"
24,Scott Dixon,354.0,9.0,9,"February 07, 2022"
25,Scott McLaughlin,280.0,20.0,9,"February 07, 2022"
26,Simon Pagenaud,612.0,2.0,9,"February 07, 2022"
27,Simon Pagenaud,612.0,3.0,9,"February 07, 2022"
28,TBA,101.0,28.0,9,"February 07, 2022"
29,Takuma Sato,356.0,8.0,9,"February 07, 2022"
30,Tatiana Calderon,164.0,27.0,9,"February 07, 2022"
31,Tony Kanaan,48.0,30.0,9,"February 07, 2022"
32,Will Power,349.0,10.0,9,"February 07, 2022"
0,Alex Palou,417.0,7.0,10,"February 07, 2022"
1,Alexander Rossi,337.0,12.0,10,"February 07, 2022"
2,Callum Ilott,210.0,23.0,10,"February 07, 2022"
3,Christian Lundgaard,292.0,18.0,10,"February 07, 2022"
4,Colton Herta,332.0,14.0,10,"February 07, 2022"
5,Conor Daly,284.0,20.0,10,"February 07, 2022"
6,Dalton Kellett,265.0,21.0,10,"February 07, 2022"
7,David Malukas,296.0,17.0,10,"February 07, 2022"
8,Delvin DeFrancesco,336.0,13.0,10,"February 07, 2022"
9,Ed Carpenter,70.0,28.0,10,"February 07, 2022"
10,Felix Rosenqvist,209.0,24.0,10,"February 07, 2022"
11,Graham Rahal,512.0,4.0,10,"February 07, 2022"
12,Helio Castroneves,366.0,11.0,10,"February 07, 2022"
13,Jack Harvey,411.0,8.0,10,"February 07, 2022"
14,Jimmie Johnson,200.0,25.0,10,"February 07, 2022"
15,Josef Newgarden,528.0,3.0,10,"February 07, 2022"
16,Juan Pablo Montoya,29.0,31.0,10,"February 07, 2022"
17,Kyle Kirkwood,257.0,22.0,10,"February 07, 2022"
18,Marcus Ericsson,379.0,9.0,10,"February 07, 2022"
19,Patricio O'Ward,418.0,6.0,10,"February 07, 2022"
20,Rinus VeeKay,182.0,26.0,10,"February 07, 2022"
21,Romain Grosjean,311.0,15.0,10,"February 07, 2022"
22,Sage Karam,10.0,33.0,10,"February 07, 2022"
23,Santino Ferrucci,32.0,30.0,10,"February 07, 2022"
24,Scott Dixon,501.0,5.0,10,"February 07, 2022"
25,Scott McLaughlin,379.0,10.0,10,"February 07, 2022"
26,Simon Pagenaud,614.0,1.0,10,"February 07, 2022"
27,Simon Pagenaud,614.0,2.0,10,"February 07, 2022"
28,TBA,38.0,29.0,10,"February 07, 2022"
29,Takuma Sato,304.0,16.0,10,"February 07, 2022"
30,Tatiana Calderon,181.0,27.0,10,"February 07, 2022"
31,Tony Kanaan,16.0,32.0,10,"February 07, 2022"
32,Will Power,285.0,19.0,10,"February 07, 2022"
