driver,date,year,EloRating
Hideki Mutoh,2008-06-07,2008,1549.72835673167
Jaime Camara,2008-06-07,2008,1419.91237382062
John Andretti,2008-06-07,2008,1487.1901076667
Justin Wilson,2008-06-07,2008,1464.06113605232
Marco Andretti,2008-06-07,2008,1483.73702721837
Mario Dominguez,2008-06-07,2008,1482.07217557526
Mario Moraes,2008-06-07,2008,1454.52510836931
Marty Roth,2008-06-07,2008,1352.82275923677
Milka Duno,2008-06-07,2008,1485.51306119116
Oriol Servia,2008-06-07,2008,1545.14282655581
Ryan Briscoe,2008-06-07,2008,1512.29316856516
Ryan Hunter-Reay,2008-06-07,2008,1515.54847288548
Scott Dixon,2008-06-07,2008,1595.2531368459
Tomas Scheckter,2008-06-07,2008,1425.40130401935
Tony Kanaan,2008-06-07,2008,1566.33130650632
Vitor Meira,2008-06-07,2008,1509.04828446871
Will Power,2008-06-07,2008,1481.75493214048
A.J. Foyt IV,2008-06-22,2008,1532.37051615466
Bruno Junqueira,2008-06-22,2008,1439.52376639657
Buddy Rice,2008-06-22,2008,1524.10376709011
Dan Wheldon,2008-06-22,2008,1621.36903652991
Danica Patrick,2008-06-22,2008,1529.54410990424
Darren Manning,2008-06-22,2008,1464.75840064154
E.J. Viso,2008-06-22,2008,1531.98169109624
Ed Carpenter,2008-06-22,2008,1528.91346275563
Enrique Bernoldi,2008-06-22,2008,1484.72871899498
Graham Rahal,2008-06-22,2008,1480.58679028053
Helio Castroneves,2008-06-22,2008,1606.99095200601
Hideki Mutoh,2008-06-22,2008,1572.80024704287
Jaime Camara,2008-06-22,2008,1410.98668069615
John Andretti,2008-06-22,2008,1498.47434116002
Justin Wilson,2008-06-22,2008,1472.39296194307
Marco Andretti,2008-06-22,2008,1508.55159685604
Mario Moraes,2008-06-22,2008,1446.14440091596
Marty Roth,2008-06-22,2008,1334.97427213088
Milka Duno,2008-06-22,2008,1463.15297047822
Oriol Servia,2008-06-22,2008,1539.10878705659
Ryan Briscoe,2008-06-22,2008,1522.38564006825
Ryan Hunter-Reay,2008-06-22,2008,1529.37216115106
Scott Dixon,2008-06-22,2008,1605.85093368636
Tony Kanaan,2008-06-22,2008,1546.518826328
Vitor Meira,2008-06-22,2008,1506.76511091245
Will Power,2008-06-22,2008,1494.41814082224
A.J. Foyt IV,2008-06-28,2008,1502.59556905867
Bruno Junqueira,2008-06-28,2008,1419.11294687464
Buddy Rice,2008-06-28,2008,1496.2464793955
Dan Wheldon,2008-06-28,2008,1636.08388279426
Danica Patrick,2008-06-28,2008,1547.83992265917
Darren Manning,2008-06-28,2008,1473.44521227675
E.J. Viso,2008-06-28,2008,1542.09653016233
Ed Carpenter,2008-06-28,2008,1535.75094575183
Enrique Bernoldi,2008-06-28,2008,1461.73196841165
Graham Rahal,2008-06-28,2008,1465.10956956675
Helio Castroneves,2008-06-28,2008,1633.38402445863
Hideki Mutoh,2008-06-28,2008,1567.43312424245
Jaime Camara,2008-06-28,2008,1417.13228979165
John Andretti,2008-06-28,2008,1481.78065228236
Justin Wilson,2008-06-28,2008,1494.45870126957
Marco Andretti,2008-06-28,2008,1511.98883473411
Mario Moraes,2008-06-28,2008,1442.89593125041
Marty Roth,2008-06-28,2008,1331.00998256522
Oriol Servia,2008-06-28,2008,1560.95312453513
Ryan Briscoe,2008-06-28,2008,1518.32546215543
Ryan Hunter-Reay,2008-06-28,2008,1526.66217105107
Scott Dixon,2008-06-28,2008,1621.9444148743
Tony Kanaan,2008-06-28,2008,1566.52990801422
Townsend Bell,2008-06-28,2008,1534.14442548926
Vitor Meira,2008-06-28,2008,1493.89914267308
Will Power,2008-06-28,2008,1468.27152524474
A.J. Foyt IV,2008-07-06,2008,1492.24895076787
Bruno Junqueira,2008-07-06,2008,1442.35352852087
Buddy Rice,2008-07-06,2008,1524.00448581765
Dan Wheldon,2008-07-06,2008,1604.45691430686
Danica Patrick,2008-07-06,2008,1545.43885666835
Darren Manning,2008-07-06,2008,1501.45166042281
E.J. Viso,2008-07-06,2008,1551.70409965516
Ed Carpenter,2008-07-06,2008,1529.49888990703
Enrique Bernoldi,2008-07-06,2008,1447.2031894845
Graham Rahal,2008-07-06,2008,1483.04793557307
Helio Castroneves,2008-07-06,2008,1628.98370960809
Hideki Mutoh,2008-07-06,2008,1578.88752088454
Jaime Camara,2008-07-06,2008,1414.25271470603
Jay Howard,2008-07-06,2008,1456.31660287433
Justin Wilson,2008-07-06,2008,1458.59500301502
Marco Andretti,2008-07-06,2008,1529.41164333652
Mario Dominguez,2008-07-06,2008,1487.08336653018
Mario Moraes,2008-07-06,2008,1463.75260547562
Milka Duno,2008-07-06,2008,1453.53116077541
Oriol Servia,2008-07-06,2008,1529.10537758803
Ryan Briscoe,2008-07-06,2008,1512.05435068674
Ryan Hunter-Reay,2008-07-06,2008,1551.75795401945
Scott Dixon,2008-07-06,2008,1617.4589314972
Tony Kanaan,2008-07-06,2008,1586.17784451486
Vitor Meira,2008-07-06,2008,1475.4309963744
Will Power,2008-07-06,2008,1468.08632758316
A.J. Foyt IV,2008-07-12,2008,1472.30911092857
Bruno Junqueira,2008-07-12,2008,1441.82280354773
Buddy Rice,2008-07-12,2008,1538.89593376956
Dan Wheldon,2008-07-12,2008,1623.4001152158
Danica Patrick,2008-07-12,2008,1555.92526237773
Darren Manning,2008-07-12,2008,1512.71358058836
Ed Carpenter,2008-07-12,2008,1537.959702115
Enrique Bernoldi,2008-07-12,2008,1433.47463765089
Graham Rahal,2008-07-12,2008,1487.46138739396
Helio Castroneves,2008-07-12,2008,1639.83132666491
Hideki Mutoh,2008-07-12,2008,1567.67373042564
Jaime Camara,2008-07-12,2008,1400.91089978942
Justin Wilson,2008-07-12,2008,1448.58408358315
Marco Andretti,2008-07-12,2008,1500.403963905
Mario Moraes,2008-07-12,2008,1474.62880941308
Marty Roth,2008-07-12,2008,1340.25363212156
Milka Duno,2008-07-12,2008,1446.64040499581
Oriol Servia,2008-07-12,2008,1522.84490335123
