Car No.,Driver,Team,Engine,Rounds,year
48,Tony Kanaan,Chip Ganassi Racing,Honda,Ovals,2021
51,Romain Grosjean,Dale Coyne Racing/Rick Ware Racing,Honda,Road/Street,2021
51,Pietro Fittipaldi,Dale Coyne Racing/Rick Ware Racing,Honda,Ovals,2021
52,Ryan Norman,Dale Coyne Racing/Rick Ware Racing,Honda,Mid-Ohio,2021
52,Cody Ware,Dale Coyne Racing/Rick Ware Racing,Honda,Multiple Races,2021
59,Max Chilton,Carlin,Chevy,Road/Street/Indy 500,2021
59,Conor Daly,Carlin,Chevy,Texas & Gateway,2021
60,Jack Harvey,Meyer Shank Racing,Honda,Full Season,2021
75,RC Enerson,Top Gun Racing,Chevy,Indy 500 & IMS RC #2,2021
77,Callum Ilott,Juncos Hollinger Racing,Chevy,POR/LAG/LB,2021
86,Juan Pablo Montoya,Arrow McLaren SP,Chevy,GMR GP & Indy 500,2021
98,Marco Andretti,Andretti Autosport/Bryan Herta Autosport/Marco Andretti,Honda,Indy 500,2021
2,Juan Pablo Montoya,Team Penske,Chevy,Full Season,2016
3,Helio Castroneves,Team Penske,Chevy,Full Season,2016
4,Buddy Lazier,Lazier Burns Racing,Chevy,Indy 500,2016
5,James Hinchcliffe,Schmidt Peterson Motorsports,Honda,Full Season,2016
6,JR Hildebrand,Ed Carpenter Racing,Chevy,Both IMS Races,2016
7,Mikhail Aleshin,Schmidt Peterson Motorsports,Honda,Full Season,2016
8,Max Chilton,Chip Ganassi Racing,Chevy,Full Season,2016
9,Scott Dixon,Chip Ganassi Racing,Chevy,Full Season,2016
10,Tony Kanaan,Chip Ganassi Racing,Chevy,Full Season,2016
11,Sebastien Bourdais,KVSH Racing,Chevy,Full Season,2016
12,Will Power,Team Penske,Chevy,Full Season,2016
12,Oriol Servia,Team Penske,Chevy,Sub-St. Pete,2016
14,Takuma Sato,A.J. Foyt Enterprises,Honda,Full Season,2016
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2016
16,Spencer Pigot,Rahal Letterman Lanigan Racing,Honda,St. Pete/IMS Races,2016
18,Conor Daly,Dale Coyne Racing,Honda,Full Season (No. 88 Pocono),2016
19,Luca Filippi,Dale Coyne Racing,Honda,Rds. 1-4&12,2016
19,Gabby Chaves,Dale Coyne Racing,Honda,Rds. 5-11,2016
19,RC Enerson,Dale Coyne Racing,Honda,MO/WGI/Sonoma,2016
19,Pippa Mann,Dale Coyne Racing,Honda,Pocono,2016
20,Ed Carpenter,Ed Carpenter Racing,Chevy,Oval Races,2016
20,Spencer Pigot,Ed Carpenter Racing,Chevy,Road/Street from Belle Isle,2016
21,Josef Newgarden,Ed Carpenter Racing,Chevy,Full Season,2016
22,Simon Pagenaud,Team Penske,Chevy,Full Season,2016
24,Sage Karam,Dreyer Reinbold Racing,Chevy,Indy 500,2016
25,Stefan Wilson,KV Racing Technology,Chevy,Indy 500,2016
26,Carlos Munoz,Andretti Autosport,Honda,Full Season,2016
27,Marco Andretti,Andretti Autosport,Honda,Full Season,2016
28,Ryan Hunter-Reay,Andretti Autosport,Honda,Full Season,2016
29,Townsend Bell,Andretti Autosport,Honda,Indy 500,2016
35,Alex Tagliani,A.J. Foyt Enterprises,Honda,Both IMS Races,2016
41,Jack Hawksworth,A.J. Foyt Enterprises,Honda,Full Season,2016
42,Charlie Kimball,Chip Ganassi Racing,Chevy,Indy 500(Car #),2016
61,Matthew Brabham,Team Murray/KVSH Racing,Chevy,IMS Races,2016
63,Pippa Mann,Dale Coyne Racing,Honda,Indy 500,2016
77,Oriol Servia,Schmidt Peterson Motorsports w/Marotti Racing,Honda,Indy 500,2016
83,Charlie Kimball,Chip Ganassi Racing,Chevy,Full Season,2016
88,Bryan Clauson,Jonathan Byrd's Racing/Dale Coyne Racing,Honda,Indy 500,2016
88,Conor Daly,Jonathan Byrd's Racing/Dale Coyne Racing,Honda,Pocono,2016
98,Alexander Rossi,Andretti Autosport/Bryan Herta Autosport,Honda,Full Season,2016
