Car,Driver Name,Lap,LapTime,MPH,S1,P2,STOPTIME,I1,L4_SFtoPI,S2,L5,L7,L3_POtoSF,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,S7,L6,I3,P1,L2_PItoPO,S8,Status,TOD,TIRE,OT Remain,OT Used
8,Ericsson,18,64.641,100.246,2.996,0,0,30.5365,0,7.0137,0,0,0,6.8018,0.5286,4.9346,13.725,8.7904,4.0718,10.6524,21.3037,6.5806,0.5315,5.4901,10.6513,5.1612,8.6566,0,12.8008,0,0,4.1442,,58:58.5,A,118,13
8,Ericsson,19,62.4453,103.771,2.9051,0,0,29.0247,0,6.2854,0,0,0,6.5907,0.5252,4.7329,13.2435,8.5106,3.8242,10.4975,20.6416,6.6733,0.5265,5.1283,10.1441,5.0158,8.5882,0,12.779,0,0,4.1908,,00:01.0,A,117,1
8,Ericsson,20,62.166,104.237,2.9084,0,0,28.8654,0,6.1743,0,0,0,6.5492,0.5239,4.6924,13.2335,8.5411,3.8191,10.432,20.5393,6.6129,0.5232,5.0902,10.1073,5.0171,8.5912,0,12.7613,0,0,4.1701,,01:03.2,A,113,4
8,Ericsson,21,62.4956,103.687,2.9048,0,0,28.9734,0,6.2524,0,0,0,6.5558,0.5246,4.8098,13.2604,8.4506,3.8771,10.5399,20.6608,6.6628,0.5234,5.1193,10.1209,5.0016,8.6549,0,12.8614,0,0,4.2065,,02:05.7,A,113,0
8,Ericsson,22,62.4208,103.812,2.9153,0,0,28.8265,0,6.1362,0,0,0,6.5303,0.5227,4.719,13.2447,8.5257,3.9001,10.56,20.7082,6.6599,0.523,5.1156,10.1482,5.0326,8.6774,0,12.8861,0,0,4.2087,,03:08.1,A,113,0
8,Ericsson,23,62.7383,103.286,2.9628,0,0,29.1761,0,6.2792,0,0,0,6.5781,0.5281,4.7723,13.356,8.5837,3.8777,10.5221,20.6763,6.6444,0.5368,5.1211,10.1542,5.0331,8.676,0,12.8859,0,0,4.2099,,04:10.8,A,113,0
8,Ericsson,24,62.6863,103.372,2.9535,0,0,29.0761,0,6.1485,0,0,0,6.5762,0.526,4.786,13.3979,8.6119,3.9194,10.577,20.7689,6.6576,0.5304,5.1838,10.1919,5.0081,8.648,0,12.8413,0,0,4.1933,,05:13.5,A,113,0
8,Ericsson,25,68.1466,95.089,2.9231,0,0,29.1146,0,6.2218,0,0,0,6.5836,0.5219,4.7514,13.3861,8.6347,4.026,12.083,24.4931,8.057,0.7557,6.355,12.4101,6.0551,10.1388,0,14.5389,0,0,4.4001,Y,06:21.6,A,113,0
8,Ericsson,26,97.3422,66.569,3.5611,0,0,41.3483,0,8.2915,0,0,0,11.4553,1.0219,7.2038,18.0404,10.8366,4.7911,15.7844,33.4086,10.9933,1.2155,7.8241,17.6242,9.8001,13.6752,0,22.5853,0,0,8.9101,Y,07:59.0,A,111,2
8,Ericsson,28,134.426,48.205,0,21.5393,0,0,0,0,4.3672,2752.82,112.887,16.9781,1.7651,9.9885,26.6132,16.6247,5.173,20.9825,41.3591,15.8095,1.9039,11.22,20.3766,9.1566,13.8273,0,23.5692,0,0,9.7419,Y,12:09.3,P,111,0
8,Ericsson,29,114.393,56.647,7.046,0,0,56.1393,0,9.6641,0,0,0,17.5049,2.2579,9.9395,21.9243,11.9848,5.25,17.4872,35.6662,12.2372,1.3605,9.4201,18.179,8.7589,12.7601,0,22.5872,0,0,9.8271,Y,14:03.7,P,111,0
8,Ericsson,30,123.391,52.516,8.6604,0,0,60.3914,0,9.0016,0,0,0,17.871,2.3043,9.8895,24.8584,14.9689,5.7236,20.8991,39.7659,15.1755,1.7494,10.165,18.8668,8.7018,13.0618,0,23.2332,0,0,10.1714,Y,16:07.1,P,111,0
